num
7.5
7.6
8.7
6.1
10.6
9.8
7
6
8.3
6
8.2
8.5
7.4
7.1
9.5
6.8
9.6
6.3
6.3
8.5
5.8
7.5
9.2
7.2
7
8
7.5
7.5
8
6.5
