curs
62.5881
62.5573
63.2488
64.5838
70.1625
71.8611
71.9575
76.9174
77.5040
77.6321
76.6025
76.9346
78.3702
80.3676
83.5173
85.6374
88.2856
84.5677
77.9943
78.0261
81.6828
74.8863
66.7817
67.3624
60.0964
62.4844
57.9663
55.4182
54.7304
54.4662
53.8301
54.4358
54.3844
53.5105
53.7266
53.5354
53.6768
53.6954
54.0798
54.5672
54.5643
54.6390
54.5700
54.5422
55.8629
56.5553
56.1427
55.4629
55.1633
55.3355
55.2078
54.9228
54.8784
55.2264
54.5022
53.6748
53.7918
53.9820
53.9141
53.2573
53.2257
52.8888
52.9593
53.0894
52.6788
52.5603
52.7418
52.9034
52.8165
52.6410
52.3840
52.4813
52.6429
52.6975
52.6665
52.6319
51.7233
52.0991
52.6593
52.8475
53.3685
53.5145
53.8030
53.7123
53.6970
54.0292
53.2664
52.9851
52.9052
53.1024
53.2774
53.1564
52.4298
51.9093
52.1022
52.8661
52.7485
53.2511
53.3800
53.3076
53.1791
52.9822
52.3857
52.1575
52.6219
53.1396
53.1292
53.2490
52.9843
52.6313
52.8508
53.2211
52.8442
52.8966
52.5603
52.4938
52.6671
52.5031
52.8009
52.9209
52.5983
52.3473
52.7807
52.6845
52.7812
53.1426
52.8998
52.7801
53.2432
53.0553
53.0996
52.9774
53.4005
53.4180
53.8118
53.8642
53.9692
54.0167
54.2125
54.2630
54.1527
53.8136
53.7516
53.6982
53.7461
53.6403
53.6655
53.5151
53.4485
53.2344
